transaction_id,date,agency,vendor_id,contract_type,amount,description,currency,is_anomaly
3e34e340,2025-06-21,Ministry of Health & Family Welfare,Wipro Government Solutions,Lump Sum,7029003.28,Supply of medical equipment for AIIMS,INR,0
82ef4753,2025-07-31,NHAI (National Highways Authority of India),Wipro Government Solutions,Consultancy,304790.72,Construction of 4-lane highway section km 10-50,INR,0
698de22c,2025-11-23,CPWD (Central Public Works Department),Reliance Infrastructure,EPC (Engineering Procurement Construction),3741124.23,Renovation of government quarters,INR,0
d5f8c016,2025-09-18,Ministry of Railways,GMR Infrastructure,Consultancy,73649543.73,Ghost material entry for site #99,INR,1
ca6745cc,2025-12-13,NHAI (National Highways Authority of India),GMR Infrastructure,Lump Sum,1320531.59,Road safety consultancy services,INR,0
82141f10,2025-10-28,Ministry of Rural Development,Tata Projects Ltd,Lump Sum,1859513.7,Skill development training program,INR,0
332305b0,2025-04-15,CPWD (Central Public Works Department),GMR Infrastructure,Consultancy,41845.65,Horticulture works for central vista,INR,0
b56eca0f,2025-05-26,Ministry of Defence,Rail Vikas Nigam Ltd,Item Rate,21025048.03,Procurement of spare parts for vehicles,INR,0
1a69fa6c,2025-06-25,Ministry of Railways,Wipro Government Solutions,Item Rate,151810443.65,Miscellaneous liaisoning charges,INR,1
29e4c60d,2025-03-09,Ministry of Railways,GMR Infrastructure,Item Rate,194566.56,Signalling modernization for Howrah,INR,0
dfd2d132,2025-04-12,Ministry of Defence,Bharat Electronics Ltd,EPC (Engineering Procurement Construction),2652556.5,Supply of high-altitude clothing,INR,0
27bfad93,2025-04-04,NHAI (National Highways Authority of India),Reliance Infrastructure,EPC (Engineering Procurement Construction),3049592.2,Toll plaza operation and maintenance,INR,0
32c87ea8,2025-05-20,CPWD (Central Public Works Department),Reliance Infrastructure,Consultancy,3193725.66,Renovation of government quarters,INR,0
63bb5d1b,2025-07-27,Ministry of Rural Development,Shapoorji Pallonji Group,Consultancy,600595.18,Skill development training program,INR,0
9ef2d669,2025-08-14,NHAI (National Highways Authority of India),Rail Vikas Nigam Ltd,Consultancy,949950.41,Road safety consultancy services,INR,0
7862a384,2025-07-24,Ministry of Rural Development,Larsen & Toubro Ltd,Item Rate,2284896.7,Skill development training program,INR,0
187a1265,2025-04-23,Ministry of Railways,Wipro Government Solutions,Consultancy,997227.91,Track renewal works for Western Zone,INR,0
2f16bdeb,2025-02-05,Ministry of Rural Development,Larsen & Toubro Ltd,Item Rate,193377.76,Skill development training program,INR,0
41b1be14,2025-01-23,Ministry of Railways,Larsen & Toubro Ltd,Consultancy,251360.97,Signalling modernization for Chennai Central,INR,0
35419930,2025-10-05,Ministry of Health & Family Welfare,Wipro Government Solutions,Lump Sum,888223.29,Procurement of vaccines,INR,0
e32dc2ac,2025-04-01,Ministry of Health & Family Welfare,Patanjali Ayurved,Consultancy,7444510.98,Hospital management works,INR,0
41573149,2025-03-31,Ministry of Defence,Reliance Infrastructure,Consultancy,1083692.07,Supply of high-altitude clothing,INR,0
ac2d0508,2025-05-08,CPWD (Central Public Works Department),Infosys Ltd,Lump Sum,711325.97,Renovation of government quarters,INR,0
b5722ec5,2025-11-02,Ministry of Defence,Infosys Ltd,Lump Sum,8802828.34,Supply of high-altitude clothing,INR,0
bcf73083,2025-08-25,Ministry of Rural Development,Patanjali Ayurved,Item Rate,12225328.07,Skill development training program,INR,0
3f7723de,2025-01-16,Ministry of Defence,Shapoorji Pallonji Group,EPC (Engineering Procurement Construction),33153734.87,Procurement of spare parts for vehicles,INR,0
0c875dfb,2025-10-18,CPWD (Central Public Works Department),Larsen & Toubro Ltd,EPC (Engineering Procurement Construction),1867820.46,Renovation of government quarters,INR,0
59f05edc,2025-06-05,NHAI (National Highways Authority of India),GMR Infrastructure,EPC (Engineering Procurement Construction),8719680.74,Toll plaza operation and maintenance,INR,0
c04b9d87,2026-01-03,NHAI (National Highways Authority of India),Reliance Infrastructure,Consultancy,162496.06,Construction of 4-lane highway section km 10-50,INR,0
21e89831,2025-02-23,CPWD (Central Public Works Department),Larsen & Toubro Ltd,EPC (Engineering Procurement Construction),70818459.14,Facilitation fee for clearance,INR,1
d2b4a780,2025-03-04,Ministry of Health & Family Welfare,Reliance Infrastructure,Lump Sum,794619.92,Supply of medical equipment for AIIMS,INR,0
248aef16,2025-01-14,CPWD (Central Public Works Department),Shapoorji Pallonji Group,Consultancy,491417.52,Renovation of government quarters,INR,0
538b0642,2025-03-15,NHAI (National Highways Authority of India),Reliance Infrastructure,EPC (Engineering Procurement Construction),7964817.41,Road safety consultancy services,INR,0
73ba7dd1,2025-08-07,Ministry of Rural Development,Wipro Government Solutions,Lump Sum,32369337.38,Road construction under PMGSY,INR,0
dfd69528,2025-08-02,NHAI (National Highways Authority of India),Rail Vikas Nigam Ltd,Item Rate,16904262.01,Road safety consultancy services,INR,0
405c9189,2025-03-22,Ministry of Defence,Wipro Government Solutions,Lump Sum,2704507.69,Supply of high-altitude clothing,INR,0
19691b6a,2025-12-04,Ministry of Rural Development,Infosys Ltd,EPC (Engineering Procurement Construction),2292756.39,Skill development training program,INR,0
342eb683,2025-08-12,NHAI (National Highways Authority of India),Hindustan Construction Co,Consultancy,2989486.52,Road safety consultancy services,INR,0
bff62bbf,2025-02-25,CPWD (Central Public Works Department),Rail Vikas Nigam Ltd,Item Rate,1653416.87,Electrical maintenance of Parliament Annexe,INR,0
72098b12,2025-12-17,CPWD (Central Public Works Department),Bharat Electronics Ltd,EPC (Engineering Procurement Construction),755240603.9,Facilitation fee for clearance,INR,1
5b7e0170,2025-07-10,NHAI (National Highways Authority of India),Tata Projects Ltd,Item Rate,8270494.83,Road safety consultancy services,INR,0
9cc1d45e,2025-12-24,Ministry of Railways,GMR Infrastructure,EPC (Engineering Procurement Construction),45817.6,Signalling modernization for Mumbai CST,INR,0
1f8e56ae,2025-12-21,CPWD (Central Public Works Department),Hindustan Construction Co,Lump Sum,6603246.49,Renovation of government quarters,INR,0
0d829b8a,2025-09-10,Ministry of Railways,Adani Enterprises,EPC (Engineering Procurement Construction),1212929.92,Signalling modernization for Mumbai CST,INR,0
6ed6bb29,2025-08-09,Ministry of Health & Family Welfare,Larsen & Toubro Ltd,Lump Sum,27921873.65,Procurement of vaccines,INR,0
7991b5f0,2025-10-30,CPWD (Central Public Works Department),Bharat Electronics Ltd,Lump Sum,2011956.08,Renovation of government quarters,INR,0
cd3e5c4d,2025-05-19,NHAI (National Highways Authority of India),Reliance Infrastructure,Item Rate,1895494.92,Construction of 4-lane highway section Phase-2,INR,0
5bc0593b,2025-04-13,Ministry of Health & Family Welfare,Wipro Government Solutions,Consultancy,96521.97,Supply of medical equipment for AIIMS,INR,0
9cf3297a,2025-07-20,NHAI (National Highways Authority of India),Bharat Electronics Ltd,Item Rate,630594.45,Construction of 4-lane highway section km 10-50,INR,0
f661bd6e,2025-04-26,Ministry of Defence,Infosys Ltd,Item Rate,3028108.84,Maintenance of cantonment roads,INR,0
70b16318,2025-05-08,Ministry of Rural Development,GMR Infrastructure,Item Rate,5200000.0,Facilitation fee for clearance,INR,1
9bdba780,2025-03-03,Ministry of Health & Family Welfare,Patanjali Ayurved,Item Rate,621088.94,Procurement of vaccines,INR,0
0ef4a108,2025-03-25,Ministry of Defence,GMR Infrastructure,Consultancy,13580224.43,Supply of high-altitude clothing,INR,0
064b142c,2025-07-10,CPWD (Central Public Works Department),Patanjali Ayurved,EPC (Engineering Procurement Construction),889444.02,Electrical maintenance of Parliament Annexe,INR,0
b9a0bd92,2025-11-27,Ministry of Defence,Larsen & Toubro Ltd,Consultancy,3140475.11,Maintenance of cantonment roads,INR,0
323eb402,2025-12-22,CPWD (Central Public Works Department),Bharat Electronics Ltd,Item Rate,16444310.1,Horticulture works for central vista,INR,0
07940c60,2025-10-10,CPWD (Central Public Works Department),Rail Vikas Nigam Ltd,EPC (Engineering Procurement Construction),346734.5,Horticulture works for central vista,INR,0
3e862cc4,2026-01-03,CPWD (Central Public Works Department),Bharat Electronics Ltd,Consultancy,512963.34,Horticulture works for central vista,INR,0
f2699942,2025-08-28,Ministry of Defence,Adani Enterprises,Lump Sum,1129906.94,Supply of high-altitude clothing,INR,0
29ba6f57,2025-05-17,CPWD (Central Public Works Department),Adani Enterprises,Item Rate,10654588.68,Electrical maintenance of Shastri Bhawan,INR,0
acfa096f,2025-01-15,Ministry of Defence,Bharat Electronics Ltd,Consultancy,932799.62,Supply of high-altitude clothing,INR,0
dca71da6,2025-05-10,CPWD (Central Public Works Department),Patanjali Ayurved,EPC (Engineering Procurement Construction),254000.33,Renovation of government quarters,INR,0
1fa5f86e,2025-10-20,Ministry of Railways,Bharat Electronics Ltd,Consultancy,3960237.4,Track renewal works for Southern Zone,INR,0
2053f1a6,2025-09-29,NHAI (National Highways Authority of India),Hindustan Construction Co,Item Rate,772537.28,Road safety consultancy services,INR,0
bf92cd55,2025-11-04,NHAI (National Highways Authority of India),Shapoorji Pallonji Group,Consultancy,133416.26,Construction of 4-lane highway section Package-IV,INR,0
01ee59d0,2025-02-17,Ministry of Defence,Bharat Electronics Ltd,Consultancy,98688.08,Procurement of spare parts for vehicles,INR,0
6dc38254,2025-03-09,Ministry of Railways,GMR Infrastructure,Item Rate,1514392.33,Signalling modernization for New Delhi,INR,0
61d30392,2025-01-28,Ministry of Rural Development,Tata Projects Ltd,Consultancy,2014743.25,Skill development training program,INR,0
2479eba3,2025-10-26,Ministry of Rural Development,Tata Projects Ltd,Lump Sum,1329679.53,Water conservation project,INR,0
19942280,2025-05-07,Ministry of Defence,Infosys Ltd,EPC (Engineering Procurement Construction),726663.33,Supply of high-altitude clothing,INR,0
41d10e67,2025-11-20,Ministry of Defence,Bharat Electronics Ltd,Item Rate,24752773.98,Maintenance of cantonment roads,INR,0
41c85660,2025-09-27,Ministry of Railways,Bharat Electronics Ltd,Lump Sum,1281013.72,Track renewal works for Southern Zone,INR,0
20b8906f,2025-04-30,Ministry of Defence,Reliance Infrastructure,EPC (Engineering Procurement Construction),183037942.82,Urgent supply - Vendor TBD,INR,1
e182073b,2025-07-12,CPWD (Central Public Works Department),Hindustan Construction Co,Item Rate,2030423.94,Horticulture works for central vista,INR,0
5e71c1db,2025-02-09,Ministry of Railways,Shapoorji Pallonji Group,EPC (Engineering Procurement Construction),3043505.14,Track renewal works for Northern Zone,INR,0
48cb114f,2025-11-13,Ministry of Health & Family Welfare,Larsen & Toubro Ltd,Lump Sum,611131.76,Procurement of vaccines,INR,0
4a835083,2025-09-28,Ministry of Health & Family Welfare,Adani Enterprises,Lump Sum,2470070.86,Hospital management works,INR,0
95869c13,2025-10-31,NHAI (National Highways Authority of India),Adani Enterprises,EPC (Engineering Procurement Construction),3511150.56,Construction of 4-lane highway section Phase-2,INR,0
04ce2023,2025-02-19,NHAI (National Highways Authority of India),Larsen & Toubro Ltd,EPC (Engineering Procurement Construction),858577.93,Construction of 4-lane highway section Phase-2,INR,0
55328818,2025-06-21,NHAI (National Highways Authority of India),Larsen & Toubro Ltd,Item Rate,4108812.78,Construction of 4-lane highway section Package-IV,INR,0
489e59ba,2025-11-11,Ministry of Railways,Infosys Ltd,Lump Sum,1134321.97,Procurement of rolling stock components,INR,0
0d9da020,2025-02-16,Ministry of Railways,Shapoorji Pallonji Group,EPC (Engineering Procurement Construction),1801806.1,Track renewal works for Western Zone,INR,0
686a2685,2025-07-13,NHAI (National Highways Authority of India),Reliance Infrastructure,Lump Sum,447849.92,Construction of 4-lane highway section Package-IV,INR,0
c0da9652,2025-10-25,CPWD (Central Public Works Department),Reliance Infrastructure,EPC (Engineering Procurement Construction),577662.47,Horticulture works for central vista,INR,0
c1589688,2025-11-25,Ministry of Railways,Patanjali Ayurved,Consultancy,2079046.03,Procurement of rolling stock components,INR,0
5185dd1d,2025-08-01,Ministry of Rural Development,GMR Infrastructure,EPC (Engineering Procurement Construction),8738479.78,Road construction under PMGSY,INR,0
6796e970,2025-07-18,Ministry of Defence,GMR Infrastructure,Consultancy,133818.86,Supply of high-altitude clothing,INR,0
0b535d48,2025-03-05,CPWD (Central Public Works Department),Infosys Ltd,Item Rate,12592649.21,Renovation of government quarters,INR,0
7c7b3464,2025-05-14,Ministry of Defence,Hindustan Construction Co,EPC (Engineering Procurement Construction),2333836.56,Supply of high-altitude clothing,INR,0
fe848e75,2025-03-16,Ministry of Health & Family Welfare,Infosys Ltd,Lump Sum,614590.45,Hospital management works,INR,0
e3d689a7,2025-08-26,Ministry of Defence,Rail Vikas Nigam Ltd,Lump Sum,65034.67,Maintenance of cantonment roads,INR,0
0b3276a4,2025-12-09,NHAI (National Highways Authority of India),Patanjali Ayurved,Consultancy,232069.31,Toll plaza operation and maintenance,INR,0
779eccad,2025-11-07,NHAI (National Highways Authority of India),GMR Infrastructure,Lump Sum,4344104.46,Road safety consultancy services,INR,0
faa4fa64,2025-10-23,NHAI (National Highways Authority of India),Wipro Government Solutions,Lump Sum,630989.81,Toll plaza operation and maintenance,INR,0
6f22c376,2025-10-10,Ministry of Railways,Bharat Electronics Ltd,Consultancy,14648128.4,Procurement of rolling stock components,INR,0
be1c9a8b,2025-03-30,NHAI (National Highways Authority of India),Adani Enterprises,Item Rate,1931493.15,Construction of 4-lane highway section Phase-2,INR,0
d6e7a5a0,2025-10-01,CPWD (Central Public Works Department),Tata Projects Ltd,EPC (Engineering Procurement Construction),138506.38,Renovation of government quarters,INR,0
6db5d473,2025-07-03,Ministry of Health & Family Welfare,Reliance Infrastructure,Lump Sum,903805.88,Supply of medical equipment for AIIMS,INR,0
1f45a754,2025-10-20,Ministry of Rural Development,Infosys Ltd,Consultancy,460498.02,Skill development training program,INR,0
af571918,2025-05-24,NHAI (National Highways Authority of India),Larsen & Toubro Ltd,Lump Sum,298177.43,Construction of 4-lane highway section Phase-2,INR,0
175ef5da,2025-06-02,Ministry of Rural Development,Tata Projects Ltd,Lump Sum,4910283.6,Road construction under PMGSY,INR,0
fe6c74cc,2025-09-18,Ministry of Health & Family Welfare,Shapoorji Pallonji Group,EPC (Engineering Procurement Construction),220525178.4,Ghost material entry for site #99,INR,1
99041dbc,2025-12-22,NHAI (National Highways Authority of India),Reliance Infrastructure,Lump Sum,617029.06,Toll plaza operation and maintenance,INR,0
573e40a7,2025-02-09,NHAI (National Highways Authority of India),Tata Projects Ltd,Lump Sum,597379.55,Toll plaza operation and maintenance,INR,0
d4e82dd1,2025-06-17,Ministry of Health & Family Welfare,GMR Infrastructure,Lump Sum,4354057.26,Procurement of vaccines,INR,0
66196c69,2025-09-12,Ministry of Health & Family Welfare,Hindustan Construction Co,Lump Sum,5679461.83,Supply of medical equipment for AIIMS,INR,0
12a0098e,2025-05-14,Ministry of Health & Family Welfare,Tata Projects Ltd,EPC (Engineering Procurement Construction),1236772.05,Supply of medical equipment for AIIMS,INR,0
c5d1f61b,2025-12-19,CPWD (Central Public Works Department),Shapoorji Pallonji Group,Lump Sum,54008567.28,Emergency procurement of unspecified consumables,INR,1
e3926927,2025-04-04,Ministry of Railways,Patanjali Ayurved,Consultancy,190742.81,Procurement of rolling stock components,INR,0
597f3a19,2026-01-09,Ministry of Railways,Wipro Government Solutions,EPC (Engineering Procurement Construction),500261.35,Signalling modernization for Howrah,INR,0
68af7e41,2025-05-05,Ministry of Rural Development,Rail Vikas Nigam Ltd,Item Rate,299988.51,Water conservation project,INR,0
3148e09b,2025-08-21,NHAI (National Highways Authority of India),Larsen & Toubro Ltd,Lump Sum,126812372.21,Construction of 4-lane highway section km 10-50,INR,0
57187469,2025-09-26,Ministry of Railways,GMR Infrastructure,Consultancy,398556.47,Signalling modernization for Mumbai CST,INR,0
6daaf5b9,2025-09-16,Ministry of Health & Family Welfare,Tata Projects Ltd,Item Rate,361648.12,Procurement of vaccines,INR,0
66e62e6f,2025-11-15,Ministry of Health & Family Welfare,Wipro Government Solutions,Consultancy,7311426.83,Supply of medical equipment for AIIMS,INR,0
f41da8c1,2025-12-17,Ministry of Defence,Bharat Electronics Ltd,Lump Sum,551848.88,Maintenance of cantonment roads,INR,0
0fe2b4c4,2025-11-04,Ministry of Health & Family Welfare,GMR Infrastructure,Consultancy,4148094.01,Hospital management works,INR,0
98e43324,2025-02-24,Ministry of Defence,Patanjali Ayurved,EPC (Engineering Procurement Construction),185896.71,Supply of high-altitude clothing,INR,0
a8aef6f5,2025-07-20,CPWD (Central Public Works Department),Bharat Electronics Ltd,EPC (Engineering Procurement Construction),351467.58,Horticulture works for central vista,INR,0
d2d1ea66,2025-01-29,Ministry of Rural Development,Adani Enterprises,Consultancy,1421944.45,Water conservation project,INR,0
1a08af09,2025-05-06,Ministry of Defence,Larsen & Toubro Ltd,EPC (Engineering Procurement Construction),552351.57,Maintenance of cantonment roads,INR,0
53916b89,2025-08-01,Ministry of Defence,Patanjali Ayurved,Item Rate,100000.0,Urgent supply - Vendor TBD,INR,1
9d200642,2025-12-17,Ministry of Railways,Adani Enterprises,EPC (Engineering Procurement Construction),2000000.0,Facilitation fee for clearance,INR,1
9dcb1e2e,2025-10-20,Ministry of Health & Family Welfare,Adani Enterprises,EPC (Engineering Procurement Construction),3854881.35,Hospital management works,INR,0
5b086084,2025-01-26,CPWD (Central Public Works Department),Rail Vikas Nigam Ltd,EPC (Engineering Procurement Construction),3120476.84,Electrical maintenance of Nirman Bhawan,INR,0
fc51a0a3,2025-04-30,CPWD (Central Public Works Department),Rail Vikas Nigam Ltd,EPC (Engineering Procurement Construction),1317342.46,Horticulture works for central vista,INR,0
872280c2,2025-11-17,Ministry of Rural Development,GMR Infrastructure,EPC (Engineering Procurement Construction),794248.31,Road construction under PMGSY,INR,0
8e49f6e6,2025-10-23,NHAI (National Highways Authority of India),Patanjali Ayurved,Lump Sum,4660049.65,Construction of 4-lane highway section Package-IV,INR,0
769670b1,2025-08-16,Ministry of Health & Family Welfare,Shapoorji Pallonji Group,Item Rate,9031976.25,Supply of medical equipment for AIIMS,INR,0
d6e6eee9,2025-08-03,Ministry of Railways,Larsen & Toubro Ltd,Item Rate,14272796.03,Signalling modernization for New Delhi,INR,0
0b9b4236,2025-03-12,Ministry of Railways,Shapoorji Pallonji Group,Lump Sum,1948917.75,Procurement of rolling stock components,INR,0
371de905,2025-03-05,Ministry of Railways,GMR Infrastructure,Lump Sum,6406518.56,Track renewal works for Western Zone,INR,0
7d1cff0f,2025-04-06,CPWD (Central Public Works Department),Shapoorji Pallonji Group,Lump Sum,61943.3,Electrical maintenance of Nirman Bhawan,INR,0
46892d76,2025-11-16,Ministry of Rural Development,Tata Projects Ltd,Consultancy,3949235.84,Road construction under PMGSY,INR,0
ff0066e0,2025-01-20,CPWD (Central Public Works Department),Shapoorji Pallonji Group,Lump Sum,1489073.49,Horticulture works for central vista,INR,0
6b70c72d,2025-07-25,Ministry of Defence,Bharat Electronics Ltd,Lump Sum,5864842.39,Procurement of spare parts for vehicles,INR,0
e49dad44,2025-08-07,NHAI (National Highways Authority of India),Shapoorji Pallonji Group,Item Rate,13386151.56,Road safety consultancy services,INR,0
84413fdd,2025-03-12,Ministry of Rural Development,GMR Infrastructure,Consultancy,4561816.21,Road construction under PMGSY,INR,0
caf63d07,2025-09-08,Ministry of Rural Development,Larsen & Toubro Ltd,Consultancy,678704.08,Skill development training program,INR,0
c4aee4fc,2025-12-28,Ministry of Defence,Adani Enterprises,Consultancy,55093.53,Maintenance of cantonment roads,INR,0
644f1ba0,2025-05-21,Ministry of Defence,Patanjali Ayurved,Consultancy,447767.71,Maintenance of cantonment roads,INR,0
7c0dd115,2025-02-27,NHAI (National Highways Authority of India),Rail Vikas Nigam Ltd,Consultancy,4992370.87,Road safety consultancy services,INR,0
a8315938,2025-12-16,CPWD (Central Public Works Department),Patanjali Ayurved,Item Rate,2272393.04,Horticulture works for central vista,INR,0
ae5db08f,2025-04-23,Ministry of Defence,Shapoorji Pallonji Group,Lump Sum,142972.38,Supply of high-altitude clothing,INR,0
868fe4b9,2025-04-17,NHAI (National Highways Authority of India),Tata Projects Ltd,Item Rate,653189.88,Construction of 4-lane highway section km 10-50,INR,0
f1875fd1,2025-07-09,Ministry of Defence,Rail Vikas Nigam Ltd,Lump Sum,823932.02,Procurement of spare parts for vehicles,INR,0
feb82b23,2025-01-31,Ministry of Defence,Adani Enterprises,Consultancy,504677.07,Maintenance of cantonment roads,INR,0
05645ee4,2025-11-15,CPWD (Central Public Works Department),Infosys Ltd,EPC (Engineering Procurement Construction),4580424.98,Electrical maintenance of Parliament Annexe,INR,0
53c87a09,2025-12-21,Ministry of Rural Development,Infosys Ltd,EPC (Engineering Procurement Construction),61500966.27,Skill development training program,INR,0
8344358c,2025-08-03,Ministry of Defence,Adani Enterprises,EPC (Engineering Procurement Construction),2091510.63,Procurement of spare parts for vehicles,INR,0
51e572de,2025-03-21,NHAI (National Highways Authority of India),Tata Projects Ltd,EPC (Engineering Procurement Construction),1084181.01,Toll plaza operation and maintenance,INR,0
e36a8f1e,2025-10-28,NHAI (National Highways Authority of India),Shapoorji Pallonji Group,Consultancy,1310094.2,Toll plaza operation and maintenance,INR,0
a130a984,2025-03-29,NHAI (National Highways Authority of India),Tata Projects Ltd,Consultancy,1191246.93,Construction of 4-lane highway section Phase-2,INR,0
ac4b2a66,2025-11-20,Ministry of Defence,Reliance Infrastructure,Item Rate,30530.6,Supply of high-altitude clothing,INR,0
088cfa2d,2026-01-10,CPWD (Central Public Works Department),Rail Vikas Nigam Ltd,Consultancy,1302234.44,Renovation of government quarters,INR,0
a1a0e4bc,2025-02-26,Ministry of Rural Development,Patanjali Ayurved,Lump Sum,51124.11,Skill development training program,INR,0
58b1d4e6,2025-07-16,Ministry of Health & Family Welfare,Rail Vikas Nigam Ltd,EPC (Engineering Procurement Construction),22972335.74,Supply of medical equipment for AIIMS,INR,0
2e55615d,2025-01-23,Ministry of Defence,Bharat Electronics Ltd,EPC (Engineering Procurement Construction),1138953.77,Procurement of spare parts for vehicles,INR,0
8f31c81e,2025-04-17,CPWD (Central Public Works Department),Rail Vikas Nigam Ltd,Consultancy,926950.38,Horticulture works for central vista,INR,0
8554ed2e,2025-04-17,Ministry of Railways,Reliance Infrastructure,Consultancy,3327475.05,Procurement of rolling stock components,INR,0
0a20b0d2,2025-03-16,Ministry of Defence,Hindustan Construction Co,Item Rate,91553.42,Procurement of spare parts for vehicles,INR,0
48f81cd8,2025-11-08,CPWD (Central Public Works Department),Tata Projects Ltd,Consultancy,542631.02,Electrical maintenance of Parliament Annexe,INR,0
7c3397b6,2025-12-17,Ministry of Rural Development,Hindustan Construction Co,Consultancy,1452355.69,Road construction under PMGSY,INR,0
4cabfcc9,2025-04-01,Ministry of Railways,Infosys Ltd,Item Rate,602279.6,Procurement of rolling stock components,INR,0
3ffb439b,2025-03-17,Ministry of Railways,Rail Vikas Nigam Ltd,Lump Sum,1778584.3,Procurement of rolling stock components,INR,0
e2aeded6,2026-01-05,Ministry of Rural Development,Reliance Infrastructure,EPC (Engineering Procurement Construction),55457.51,Water conservation project,INR,0
337d6371,2025-08-07,Ministry of Rural Development,Wipro Government Solutions,Consultancy,755506.35,Road construction under PMGSY,INR,0
97d17ab0,2026-01-02,CPWD (Central Public Works Department),Hindustan Construction Co,EPC (Engineering Procurement Construction),336972.28,Horticulture works for central vista,INR,0
fb37194c,2025-03-25,NHAI (National Highways Authority of India),Adani Enterprises,EPC (Engineering Procurement Construction),12339090.57,Toll plaza operation and maintenance,INR,0
7aa2c62c,2025-11-20,CPWD (Central Public Works Department),Infosys Ltd,Item Rate,1852664.3,Renovation of government quarters,INR,0
9bd51f5c,2025-02-15,NHAI (National Highways Authority of India),Larsen & Toubro Ltd,EPC (Engineering Procurement Construction),2400177.4,Road safety consultancy services,INR,0
ef4fc30a,2025-09-24,NHAI (National Highways Authority of India),Larsen & Toubro Ltd,Item Rate,9880341.27,Road safety consultancy services,INR,0
5aaa1eef,2025-09-04,NHAI (National Highways Authority of India),Adani Enterprises,Consultancy,287897.72,Road safety consultancy services,INR,0
51503689,2025-04-24,Ministry of Health & Family Welfare,Hindustan Construction Co,Lump Sum,5510856.58,Hospital management works,INR,0
f4479d26,2025-06-23,Ministry of Rural Development,Shapoorji Pallonji Group,Item Rate,1708828.16,Skill development training program,INR,0
c59ab9f6,2025-02-21,CPWD (Central Public Works Department),Larsen & Toubro Ltd,Consultancy,1600000.0,Facilitation fee for clearance,INR,1
299ab66f,2025-09-29,Ministry of Rural Development,Rail Vikas Nigam Ltd,EPC (Engineering Procurement Construction),824894.98,Road construction under PMGSY,INR,0
8c4c8224,2025-03-12,Ministry of Rural Development,Rail Vikas Nigam Ltd,Consultancy,591318.13,Road construction under PMGSY,INR,0
76c95c67,2025-05-09,Ministry of Defence,Infosys Ltd,Lump Sum,1985537.07,Maintenance of cantonment roads,INR,0
09556056,2025-08-13,CPWD (Central Public Works Department),Patanjali Ayurved,Lump Sum,199291.02,Horticulture works for central vista,INR,0
172b4dce,2025-11-10,Ministry of Health & Family Welfare,Bharat Electronics Ltd,EPC (Engineering Procurement Construction),1412047.52,Hospital management works,INR,0
498ecdf7,2025-03-17,NHAI (National Highways Authority of India),Shapoorji Pallonji Group,Consultancy,150869.75,Road safety consultancy services,INR,0
9c0cdf50,2025-12-30,Ministry of Rural Development,Rail Vikas Nigam Ltd,EPC (Engineering Procurement Construction),1806116.71,Skill development training program,INR,0
49c4eb0c,2025-04-11,Ministry of Railways,Patanjali Ayurved,Consultancy,116957.63,Signalling modernization for Howrah,INR,0
5ab76e82,2025-04-04,CPWD (Central Public Works Department),Rail Vikas Nigam Ltd,Consultancy,1761683.52,Horticulture works for central vista,INR,0
f93057ae,2025-08-04,Ministry of Railways,Rail Vikas Nigam Ltd,Lump Sum,550658.95,Track renewal works for Eastern Zone,INR,0
6a6fd127,2025-02-21,NHAI (National Highways Authority of India),Rail Vikas Nigam Ltd,Lump Sum,6464614.38,Road safety consultancy services,INR,0
8660b06b,2025-02-27,CPWD (Central Public Works Department),Tata Projects Ltd,Item Rate,137105.93,Electrical maintenance of Shastri Bhawan,INR,0
f6ee971c,2025-10-28,Ministry of Defence,Shapoorji Pallonji Group,Item Rate,1875095.13,Maintenance of cantonment roads,INR,0
443715b2,2025-05-31,Ministry of Rural Development,Adani Enterprises,Consultancy,20071049.07,Skill development training program,INR,0
5413c3c7,2025-03-16,Ministry of Rural Development,Infosys Ltd,Item Rate,58232.66,Road construction under PMGSY,INR,0
11b7050a,2025-11-16,Ministry of Health & Family Welfare,Larsen & Toubro Ltd,Lump Sum,67974.45,Supply of medical equipment for AIIMS,INR,0
0d82a61b,2025-05-31,Ministry of Railways,Wipro Government Solutions,EPC (Engineering Procurement Construction),1136140.56,Signalling modernization for Chennai Central,INR,0
e4916b11,2025-02-26,Ministry of Rural Development,Rail Vikas Nigam Ltd,Item Rate,130122.49,Water conservation project,INR,0
80813e69,2025-11-21,Ministry of Defence,Shapoorji Pallonji Group,Lump Sum,592641.45,Maintenance of cantonment roads,INR,0
11a5582e,2025-01-14,Ministry of Rural Development,Shapoorji Pallonji Group,Consultancy,241508.38,Skill development training program,INR,0
81d324cc,2025-06-11,Ministry of Health & Family Welfare,Adani Enterprises,Consultancy,6038169.82,Supply of medical equipment for AIIMS,INR,0
e7d66ce8,2025-12-22,CPWD (Central Public Works Department),Infosys Ltd,Consultancy,434154.31,Horticulture works for central vista,INR,0
4fbb6318,2025-12-24,Ministry of Health & Family Welfare,Patanjali Ayurved,EPC (Engineering Procurement Construction),2631364.99,Supply of medical equipment for AIIMS,INR,0
9fc39322,2025-04-06,Ministry of Railways,Wipro Government Solutions,EPC (Engineering Procurement Construction),378917.62,Procurement of rolling stock components,INR,0
5aa1801e,2025-01-28,Ministry of Defence,GMR Infrastructure,Lump Sum,349813.08,Supply of high-altitude clothing,INR,0
